Time Interval,WinningTeam_G,DrawnGame_G,LosingTeam_G,WLeague_2017_-2018,Winners _G,Draw_G,Losers_G,GameResult,Frequency,Percentage,HomeGames,AwayGames,SeasonWeek,FixturesW,TotalG,HomeG,AwayG,SFW,SFD,SFL ,NoScoreDraw,WinnersGW,LosersGW,DrawnGW
0-15 minutes,20,2,2,,131,24,39,Team scores first wins,46,81,24,22,1,4,15,9,6,4,0,0,0,11,4,0
16-30 minutes,18,6,9,,,,,Team scores first draws,6,11,5,1,2,4,11,6,5,4,0,0,0,9,2,0
31-45 minutes,23,6,7,,,,,Team scores first loses,4,7,1,3,3,4,17,11,6,4,0,0,0,12,5,0
46-60 minutes,19,1,11,,,,,No score,1,2,1,1,4,4,13,8,5,2,0,2,0,9,4,0
61-75 minutes,22,3,4,,,,,,,,,,5,3,10,5,5,2,1,0,0,5,3,2
76-90 minutes,28,6,6,,,,,,,,,,6,4,6,3,3,3,1,0,0,4,0,2
91-105 minutes,1,0,0,,,,,,,,,,7,4,14,7,7,4,0,0,0,12,2,0
,,,,,,,,,,,,,8,4,14,9,5,3,1,0,0,7,1,6
,,,,,,,,,,,,,9,4,10,2,8,4,0,0,0,8,2,0
,,,,,,,,,,,,,10,4,17,13,4,2,1,1,0,11,2,4
,,,,,,,,,,,,,11,4,10,5,5,3,0,1,0,8,2,0
,,,,,,,,,,,,,12,3,10,5,5,0,2,0,1,0,0,10
,,,,,,,,,,,,,13,4,22,7,15,4,0,0,0,15,7,0
,,,,,,,,,,,,,14,4,16,10,6,4,0,0,0,13,3,0
,,,,,,,,,,,,,15,2,7,3,4,2,0,0,0,5,2,0
,,,,,,,,,,,,,16,1,2,0,2,1,0,0,0,2,0,0